index,label,ood_score,rf_u_0.0,rf_u_1.0,rf_u_2.0,ul_ta_tier_0,ul_ta_tier_1,ul_ta_tier_2,ul_ta_tier_3,is_detached,ta_attach_diverge,impossible_state,time,cc,rsrp,cfo,dl_mcs_ns,dl_snr,dl_turbo,dl_brate_ue,dl_bler,ul_mcs_ns,ul_buff,ul_brate_ue,ul_bler,rf_o,rf_l,nof_ue,dl_brate_bs,ul_brate_bs,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs_s,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs_s,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1021,2,0.3651220202445984,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.724923630589333,0.0,-1.4021304699460593,-1.7760365095945507,-2.158630444158056,-1.6371804291858705,-0.6085767417025606,-0.8397673217149191,-0.6059099914113932,-1.0301821551320771,0.31465945573919335,-0.28009913830226785,0.6054183839774886,0.0,460.6903532279631,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
638,1,0.33915913105010986,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7265830233033117,0.0,0.5142349727905189,2.074717716096777,-3.0821575166784982,0.4327777758377691,-1.231687013768147,-0.8459608893867564,-0.6059099914113932,-1.0301821551320771,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
1282,2,0.33915063738822937,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.7216048451613757,0.0,0.5142349727905189,1.4269403650555168,-3.045216433777681,1.1227638441789822,-0.36891894475425824,-0.8398977855244573,-0.6059099914113932,-0.3646079235086015,-0.1789177132770833,0.3018118776527534,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
2370,1,0.33914849162101746,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.7133078815914826,0.0,0.7880014646100301,-0.6102828371822612,-3.238446713566573,1.467756878349589,-0.36891894475425824,-0.8480633883550107,-0.6059099914113932,0.8272343052125063,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
2614,1,0.3391483724117279,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.711648488877504,0.0,0.7880014646100301,-0.6167656476905755,-3.238446713566573,1.467756878349589,-0.36891894475425824,-0.8480633883550107,-0.6059099914113932,0.8272343052125063,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
5954,1,0.33914801478385925,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6850982054538461,0.0,0.7880014646100301,-0.6167656476905755,-3.238446713566573,1.467756878349589,-0.36891894475425824,-0.8480633883550107,-0.6059099914113932,0.8272343052125063,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
6394,1,0.33914798498153687,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.681779420025889,0.0,0.7880014646100301,-0.6167656476905755,-3.238446713566573,1.467756878349589,-0.36891894475425824,-0.8480633883550107,-0.6059099914113932,0.8272343052125063,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
9411,1,0.3391476273536682,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6585479220301884,0.0,0.7880014646100301,-0.6167656476905755,-3.238446713566573,1.467756878349589,-0.36891894475425824,-0.8480633883550107,-0.6059099914113932,0.8272343052125063,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
651,0,0.33914637565612793,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7265830233033117,0.0,0.24046848097100773,1.3394224231932734,-3.133306708387323,0.4327777758377691,-1.3443261783338492,-0.8459680774174171,-0.6059099914113932,-1.0301821551320771,-0.1789177132770833,-0.2859396548800443,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
904,2,0.33914291858673096,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.724923630589333,0.0,1.0617679564295412,1.1968005920103582,-2.158630444158056,1.467756878349589,-0.46478206353357915,-0.8433480402415925,-0.6059099914113932,-1.0301821551320771,-0.1789177132770833,-0.26818025605531226,-0.4902335920243739,0.0,-0.01554773033659214,0.0,0.0,0.0,3.0,20.0,0.0,0.0,-1.0,-38.0,0.0,-1.0,0.9545499999999998,18.0,0.0,0.0030777800000000004,6.0,0.0,2.0,-0.05719999999999992,7.0,0.0,0.013376000000000013,2.0,0.0,0.0,-2.423400000000001,0.0,8.0,15.0,0.0,0.0,0.0,0.0
